Molecule Name,SMILES
CVD-0012691,CC(CO)NC(=O)C1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34
CVD-0012690,NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl
CVD-0012689,CN(C)CCc1c[nH]c2cccc(OP(O)(O)=O)c12
CVD-0012688,NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O
CVD-0012687,OC(=O)C1=NC(SCC1)C(NC(=O)Cc1cccs1)C=O
CVD-0012686,COC1OC(CNC(=O)N(CCCl)N=O)C(O)C(O)C1O
CVD-0012685,OC1CCCC(O)C1NC(=O)N(CCCl)N=O
CVD-0012684,Brc1ccc2NC(=O)\C(=N/NC(=S)Nc3cccc(Br)c3)c2c1
CVD-0012683,Clc1ccc(OCC(=O)N\N=C2/C(=O)Nc3ccc(Br)cc23)cc1
CVD-0012682,Brc1ccc(CN\N=C2/C(=O)Nc3ccc(Br)cc23)cc1
CVD-0012681,Clc1ccc(CN\N=C2/C(=O)Nc3ccc(Br)cc23)cc1
CVD-0012680,Oc1ccc(cc1Cl)C(=O)N\N=C1/C(=O)Nc2cc(Br)ccc12
CVD-0012679,Oc1ccc(cc1Cl)C(=O)N\N=C1/C(=O)Nc2c1ccc(Cl)c2Cl
CVD-0012678,Oc1ccc(Cl)cc1C(=O)N\N=C1/C(=O)Nc2cc(Br)ccc12
CVD-0012677,O=C(N1C(=O)C(=O)c2ccccc12)c1cc(=O)[nH]c2ccccc12
CVD-0012676,O=C1N(Cc2cc(=O)[nH]c3ccccc23)c2ccccc2C1=O
CVD-0012675,Brc1ccc2C(=O)C(=O)N(C(=O)c3cc(=O)[nH]c4ccccc34)c2c1
CVD-0012674,Brc1ccc2C(=O)C(=O)N(Cc3cc(=O)[nH]c4ccccc34)c2c1
CVD-0012673,Clc1cccc(c1)-c1ccc2C(=O)C(=O)N(Cc3cc(=O)[nH]c4ccccc34)c2c1
